Trade,Ghana Date,Signal Time (Ghana),Entry Time (Ghana),Direction,QQQ Score,NQ Score,Confirmation Score,Entry Price,ATR14,Risk Points,Stop Price,Target Price,Target Mode,Target Zone Bottom,Target Zone Top,Planned Reward/Risk,Exit Time (Ghana),Exit Price,Exit Reason,Gross Points,Cost Points,Net Points,Net R,Bar Gap,Cumulative R,Closed Drawdown R
1,2026-08-10,2026-08-10 23:00:00+00:00,2026-08-10 23:00:00+00:00,SHORT,-22.652018505875763,-11.711870067827416,-11.711870067827416,29732.25,13.946428571428571,13.946428571428571,29746.196428571428,29608.59375,liquidity,29467.0,29608.59375,8.866517285531371,2026-08-11 00:15:00+00:00,29746.446428571428,Stop loss,-13.696428571427532,1.0,-14.696428571427532,-1.0537772087067117,False,-1.0537772087067117,1.0537772087067117
2,2026-08-12,2026-08-12 13:00:00+00:00,2026-08-12 13:00:00+00:00,LONG,12.986390478441178,86.93236668343359,12.986390478441178,29920.25,39.875,39.875,29880.375,30033.375,liquidity,30033.375,30174.96875,2.8369905956112853,2026-08-12 13:35:00+00:00,29880.125,Stop loss,-39.625,1.0,-40.625,-1.0188087774294672,False,-2.072585986136179,2.072585986136179
3,2026-08-13,2026-08-13 11:00:00+00:00,2026-08-13 11:00:00+00:00,LONG,15.08493654918785,39.98427088466918,15.08493654918785,29881.75,10.196428571428571,10.196428571428571,29871.553571428572,29891.78125,liquidity,29891.78125,30033.375,0.9838003502626971,2026-08-13 11:05:00+00:00,29891.53125,Take profit,10.28125,1.0,9.28125,0.910245183887916,False,-1.162340802248263,1.162340802248263
4,2026-08-13,2026-08-13 14:00:00+00:00,2026-08-13 14:00:00+00:00,LONG,13.146758088468294,75.46022299383198,13.146758088468294,30176.0,43.839285714285715,43.839285714285715,30132.160714285714,30316.5625,liquidity,30316.5625,30458.15625,3.206313645621181,2026-08-13 15:40:00+00:00,30131.910714285714,Stop loss,-43.589285714286234,1.0,-44.589285714286234,-1.0171079429735352,False,-2.1794487452217983,2.1794487452217983
5,2026-08-17,2026-08-17 10:00:00+00:00,2026-08-17 10:00:00+00:00,SHORT,-14.953322637306682,-10.007880589016995,-10.007880589016995,30281.75,12.267857142857142,12.267857142857142,30294.01785714286,30204.729166666668,liquidity,30068.21875,30204.729166666668,6.278262979136243,2026-08-17 10:15:00+00:00,30294.26785714286,Stop loss,-12.017857142858702,1.0,-13.017857142858702,-1.0611353711791665,False,-3.2405841164009646,3.2405841164009646
6,2026-08-20,2026-08-20 14:00:00+00:00,2026-08-20 14:00:00+00:00,LONG,13.659615319032994,53.71738492706929,13.659615319032994,29354.25,52.964285714285715,52.964285714285715,29301.285714285714,29426.729166666668,liquidity,29426.729166666668,29557.625,1.3684535850753208,2026-08-20 14:45:00+00:00,29426.479166666668,Take profit,72.72916666666788,1.0,71.72916666666788,1.3542930995729605,False,-1.886291016828004,1.886291016828004
7,2026-08-21,2026-08-21 09:00:00+00:00,2026-08-21 09:00:00+00:00,LONG,10.582601870625028,11.819934855559083,10.582601870625028,29454.25,20.107142857142858,20.107142857142858,29434.14285714286,29557.625,liquidity,29557.625,29688.520833333332,5.141207815275311,2026-08-21 09:05:00+00:00,29433.89285714286,Stop loss,-19.857142857141298,1.0,-20.857142857141298,-1.0373001776198159,False,-2.9235911944478197,2.9235911944478197
8,2026-08-21,2026-08-21 12:00:00+00:00,2026-08-21 12:00:00+00:00,SHORT,-12.858765424979243,-31.02990849263978,-12.858765424979243,29499.25,22.446428571428573,22.446428571428573,29521.696428571428,29426.729166666668,liquidity,29295.833333333332,29426.729166666668,3.2308406258286384,2026-08-21 12:35:00+00:00,29521.946428571428,Stop loss,-22.196428571427532,1.0,-23.196428571427532,-1.033412887828116,False,-3.957004082275936,3.957004082275936
9,2026-08-24,2026-08-24 12:00:00+00:00,2026-08-24 12:00:00+00:00,SHORT,-11.099199238559956,-26.659476843083674,-11.099199238559956,29245.25,26.017857142857142,26.017857142857142,29271.26785714286,29164.9375,liquidity,29034.041666666668,29164.9375,3.086822237474262,2026-08-24 13:35:00+00:00,29165.1875,Take profit,80.5625,1.0,79.5625,3.0579958819492106,False,-0.8990082003267252,0.8990082003267252
10,2026-08-25,2026-08-25 09:00:00+00:00,2026-08-25 09:00:00+00:00,LONG,22.976194243600716,22.782660769324337,22.782660769324337,29302.25,30.875,30.875,29271.375,29426.729166666668,liquidity,29426.729166666668,29557.625,4.031713900134992,2026-08-25 14:05:00+00:00,29271.125,Stop loss,-30.625,1.0,-31.625,-1.0242914979757085,False,-1.9232996983024337,1.9232996983024337
11,2026-08-26,2026-08-26 00:00:00+00:00,2026-08-26 00:00:00+00:00,SHORT,-14.051886032572853,-15.438090848426109,-14.051886032572853,29210.0,11.767857142857142,11.767857142857142,29221.76785714286,29164.9375,liquidity,29034.041666666668,29164.9375,3.8292867981790595,2026-08-26 00:05:00+00:00,29222.01785714286,Stop loss,-11.517857142858702,1.0,-12.517857142858702,-1.0637329286799504,False,-2.9870326269823844,2.9870326269823844
12,2026-08-26,2026-08-26 11:00:00+00:00,2026-08-26 11:00:00+00:00,LONG,21.998780674479505,43.1835633895581,21.998780674479505,29237.75,17.410714285714285,17.410714285714285,29220.339285714286,29295.833333333332,liquidity,29295.833333333332,29426.729166666668,3.3360683760683068,2026-08-26 11:40:00+00:00,29220.089285714286,Stop loss,-17.160714285713766,1.0,-18.160714285713766,-1.0430769230768933,False,-4.030109550059278,4.030109550059278
13,2026-08-26,2026-08-26 13:00:00+00:00,2026-08-26 13:00:00+00:00,SHORT,-16.717533619670096,-68.34248072927916,-16.717533619670096,29151.5,33.035714285714285,33.035714285714285,29184.535714285714,29034.041666666668,liquidity,28903.145833333332,29034.041666666668,3.555495495495459,2026-08-26 13:35:00+00:00,29184.785714285714,Stop loss,-32.785714285713766,1.0,-33.785714285713766,-1.022702702702687,False,-5.0528122527619646,5.0528122527619646
14,2026-08-28,2026-08-28 12:00:00+00:00,2026-08-28 12:00:00+00:00,SHORT,-10.005224063297334,-51.86321740213842,-10.005224063297334,29601.25,15.303571428571429,15.303571428571429,29616.553571428572,29557.625,liquidity,29426.729166666668,29557.625,2.8506417736289382,2026-08-28 12:10:00+00:00,29616.803571428572,Stop loss,-15.053571428572468,1.0,-16.053571428572468,-1.0490081680280725,False,-6.1018204207900375,6.1018204207900375
15,2026-08-28,2026-08-28 14:00:00+00:00,2026-08-28 14:00:00+00:00,SHORT,-12.293459234088754,-77.1655975580443,-12.293459234088754,29631.75,33.267857142857146,33.267857142857146,29665.01785714286,29557.625,liquidity,29426.729166666668,29557.625,2.2281266774020394,2026-08-28 14:05:00+00:00,29665.26785714286,Stop loss,-33.0178571428587,1.0,-34.0178571428587,-1.0225442834138954,False,-7.124364704203932,7.124364704203932
16,2026-09-01,2026-09-01 09:00:00+00:00,2026-09-01 09:00:00+00:00,SHORT,-17.130492776418514,-46.60091118402882,-17.130492776418514,29235.5,40.32142857142857,40.32142857142857,29275.821428571428,29164.9375,liquidity,29034.041666666668,29164.9375,1.75,2026-09-01 12:05:00+00:00,29165.1875,Take profit,70.8125,1.0,69.8125,1.7313994685562446,False,-5.392965235647688,5.392965235647688
